Material,Concentration,SampleFileName,Individual_YoungModulus_MPa
fm,10v,20240822_fm10v_eco50_ss0room_s1_t2_gyan.csv,0.128919247196368
fm,10v,20240823_fm10v_eco50_ss0room_s2_t5_gyan.csv,0.199707727993905
fm,10v,20240823_fm10v_eco50_ss0room_s3_t2_gyan.csv,0.20676080235738
fm,10v,20240823_fm10v_eco50_ss0room_s4_t2_gyan.csv,0.190064374223405
fm,10v,20240823_fm10v_eco50_ss0room_s5_t1_gyan.csv,0.202451521265771
fm,20v,20240822_fm20v_eco50_ss0room_s1_t4_gyan.csv,0.0836061396834284
fm,20v,20240822_fm20v_eco50_ss0room_s2_t2_gyan.csv,0.430864586089668
fm,20v,20240823_fm20v_eco50_ss0room_s3_t1_gyan.csv,0.271313316043382
fm,20v,20240823_fm20v_eco50_ss0room_s4_t1_gyan.csv,0.22313434507087
fm,20v,20240823_fm20v_eco50_ss0room_s5_t2_gyan.csv,0.273079525262797
fm,30v,20240708_fm30v_eco50_ss0room_s1_t4_gyan.csv,0.415004960885754
fm,30v,20240708_fm30v_eco50_ss0room_s2_t1_gyan.csv,0.72379584792605
fm,30v,20240708_fm30v_eco50_ss0room_s2_t2_gyan.csv,0.529985439125552
fm,30v,20240708_fm30v_eco50_ss0room_s3_t2_gyan.csv,0.582296807622135
fm,30v,20240708_fm30v_eco50_ss0room_s3_t3_gyan.csv,0.612938289922447
fm,30v,20240708_fm30v_eco50_ss0room_s4_t1_gyan.csv,0.565371548996541
fm,30v,20240715_fm30v_eco50_ss0room_s5_t1_gyan.csv,0.356980556835889
fm,30v,20240715_fm30v_eco50_ss0room_s6_t1_gyan.csv,0.400869334017835
fm,30v,20240809_fm30v_eco50_ss0room_s7_t1_gyan.csv,0.631141160735381
fm,30v,20240809_fm30v_eco50_ss0room_s8_t1_gyan.csv,0.391453207886707
fm,40v,20240715_fm40v_eco50_ss0room_s1_t1_gyan.csv,0.728043591102072
fm,40v,20240715_fm40v_eco50_ss0room_s2_t1_gyan.csv,0.684907226478368
fm,40v,20240715_fm40v_eco50_ss0room_s3_t1_gyan.csv,0.577228802635007
fm,40v,20240809_fm40v_eco50_ss0room_s4_t2_gyan.csv,0.473366928293836
fm,40v,20240809_fm40v_eco50_ss0room_s5_t1_gyan.csv,0.635374782861923
fm,50v,20240716_fm50v_eco50_ss0room_s1_t1_gyan.csv,0.596073984691213
fm,50v,20240716_fm50v_eco50_ss0room_s1_t2_gyan.csv,0.702690677791713
fm,50v,20240716_fm50v_eco50_ss0room_s2_t1_gyan_l6.csv,0.537389930977663
fm,50v,20240717_fm50v_eco50_ss0room_s3_t1_gyan.csv,1.32391191820722
fm,50v,20240718_fm50v_eco50_ss0room_s4_t1_gyan.csv,0.886928617385469
fm,50v,20240718_fm50v_eco50_ss0room_s5_t1_gyan.csv,0.824470685260551
fm,50v,20240718_fm50v_eco50_ss0room_s5_t3_gyan.csv,0.81547816157849
fm,50v,20240822_fm50v_eco50_ss0room_s4_t1_gyan.csv,0.716709338050269
fm,50v,20240822_fm50v_eco50_ss0room_s5_t1_gyan.csv,0.747158686323743
