Material,Concentration,SampleID,Individual_YoungModulus_MPa,R_Squared
cerr_117,10v,s1.001,0.218478187053959,0.995793486399668
cerr_117,10v,s2.001,0.211077996087064,0.993511111819197
cerr_117,10v,s3.001,0.202264302504213,0.994338420551185
cerr_117,20v,s1.001,0.370545265027332,0.997274717690617
cerr_117,20v,s2.001,0.276703204222236,0.993864861015428
cerr_117,20v,s3.001,0.341352223169749,0.994778766845861
cerr_117,30v,s1.001,0.384229353160668,0.991849786236146
cerr_117,30v,s3.001,0.370145245616348,0.989195059115967
cerr_117,30v,s4.001,0.404916286059463,0.993576303696689
cerr_117,30v,s5.001,0.40694319460802,0.9937920747141
cerr_117,40v,s10.001,0.584186669216255,0.998718770158037
cerr_117,40v,s12.001,0.596584945126551,0.982804543064526
cerr_117,40v,s3.001,0.559806379332915,0.996315099767759
cerr_117,40v,s4.001,0.54150289775275,0.999832725452394
cerr_117,50v,s13.001,0.691215062841635,0.993962532167438
cerr_117,50v,s14.001,0.767769544502909,0.9954682869977
cerr_117,50v,s2.001,0.683552032654634,0.988969666278529
cerr_158,10v,s1.002,0.183851788737869,0.996922404180705
cerr_158,10v,s2.001,0.214207496451887,0.999593476690509
cerr_158,10v,s3.001,0.190754351903825,0.999822095990386
cerr_158,10v,s6.001,0.191754549629573,0.997087397815282
cerr_158,10v,s7.001,0.25836872855723,0.999469724818653
cerr_158,10v,s7.004,0.228879558935767,0.999700590482765
cerr_158,20v,s2.001,0.232021910382951,0.997960387408448
cerr_158,20v,s3.001,0.261654433840821,0.996619136995626
cerr_158,20v,s4.001,0.2442244785768,0.998255974380888
cerr_158,20v,s5.001,0.252489343510037,0.997167457860803
cerr_158,30v,s1.001,0.449070176029144,0.996694001464545
cerr_158,30v,s5.001,0.482089360928928,0.997243117447211
cerr_158,30v,s9.001,0.396952816375553,0.997911731186674
cerr_158,30v,s9.002,0.473858954768712,0.997389972868505
cerr_158,40v,s1.001,0.552195471462523,0.997030035250924
cerr_158,40v,s2.001,0.498660125224209,0.992150795026408
cerr_158,40v,s3.001,0.567874876921818,0.992837439941754
cerr_158,40v,s4.001,0.5838488808134,0.99675237783493
cerr_158,50v,s1.003,0.597726316144656,0.988855105403803
cerr_158,50v,s3.002,0.662369435245195,0.99733159575242
cerr_158,50v,s4.003,0.656812912519226,0.995805953629307
ecoflex_50,N/A,s10.001,0.176068807295491,0.997903059726523
