Material,Concentration,YoungModulus_MPa,YoungModulus_SE,N_Samples
cerr_117,10v,0.284575111757019,0.000527481804822987,3
cerr_117,20v,0.441142619745161,0.00143233393122221,3
cerr_117,30v,0.629454390399215,0.00236983195688996,4
cerr_117,40v,0.858663975636195,0.00338541656349133,4
cerr_117,50v,1.08294025720246,0.00325852496666044,3
cerr_158,10v,0.20945776159221,5.93686454348643e-05,6
cerr_158,20v,0.312609874942382,0.000319023022891152,4
cerr_158,30v,0.565163488235424,0.000843937564117558,4
cerr_158,40v,0.836770684942111,0.00285984113429319,4
cerr_158,50v,1.00970853236279,0.00346048193292403,3
ecoflex_50,N/A,0.118882147911101,0.000716902123484968,1
